neighbourhood_group,neighbourhood
Vizcaya,Muskiz
Vizcaya,Muxika
Vizcaya,Nabarniz
Vizcaya,Ondarroa
Vizcaya,Orozko
Vizcaya,Ortuella
Vizcaya,Otxandio
Vizcaya,Plentzia
Vizcaya,Portugalete
Vizcaya,Santurtzi
Vizcaya,Sestao
Vizcaya,Sondika
Vizcaya,Sopelana
Vizcaya,Sopuerta
Vizcaya,Sukarrieta
Vizcaya,Trucios-Turtzioz
Vizcaya,Ubide
Vizcaya,Ugao-Miraballes
Vizcaya,Urduliz
Vizcaya,Valle de TrÃ¡paga-Trapagaran
Vizcaya,Zaldibar
Vizcaya,Zalla
Vizcaya,Zamudio
Vizcaya,Zaratamo
Vizcaya,Zeanuri
Vizcaya,Zeberio
Vizcaya,Zierbena
