"estado","tipo","direcciÃ.","x","y","longitude","latitude","barrio","umenores"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto    5,    01",582303.39,4797334.79,-1.98489330679516,43.3243516444157,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto    9  1Âº",582295.02,4797330.2,-1.98499721217302,43.324311235989,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   10  1Âº D",582337.22,4797366.47,-1.98447136996162,43.3246331609394,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   10,    01 - Iz",582337.22,4797366.47,-1.98447136996162,43.3246331609394,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   20,    01 - A",582314.78,4797351.98,-1.98475026987879,43.3245051619917,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   26,    01",582292.92,4797338.35,-1.98502188725856,43.3243848415936,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   38,    01 - Cn",582237.36,4797307.33,-1.98571169031679,43.324111641911,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   38,    01 - Dr",582237.36,4797307.33,-1.98571169031679,43.324111641911,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   38,    01 - Iz",582237.36,4797307.33,-1.98571169031679,43.324111641911,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   40  1Âº-Local 2",582233.18,4797305.3,-1.98576354119858,43.3240938226242,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   40,    01 - 001",582233.18,4797305.3,-1.98576354119858,43.3240938226242,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","31 de Agosto   44  1Âº Izda.",582203.67,4797290.84,-1.98612961690228,43.3239668634872,"Centro","Parte Vieja"
"VUT_Favorable","Viviendas de uso turÃ­stico","Agirre Miramon    1-05,    07 - A",582848.59,4797143.95,-1.97819881024284,43.3225736119036,"Gros","Gros"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Agirre Miramon    4,    04 - 3",582869.06,4797137.37,-1.97794737904275,43.3225121156855,"Gros","Gros"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Agirre Miramon    7,    02 - Iz",582883.21,4797161.66,-1.97776922254872,43.3227292426192,"Gros","Gros"
"VUT_Favorable","Viviendas de uso turÃ­stico","Agirre Miramon    8,    06 - Dr",582889.05,4797147.64,-1.97769932350397,43.3226023748229,"Gros","Gros"
"VUT_Favorable","Viviendas de uso turÃ­stico","Aintzieta,Ps de   13,    01 - C  Arevalo",584141.16,4795173.97,-1.96256140227969,43.3046941367946,"Loiola","Txomin"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Aintzieta,Ps de   13,    02 - D  Arevalo",584141.16,4795173.97,-1.96256140227969,43.3046941367946,"Loiola","Txomin"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Aintzieta,Ps de   31,    01 - E  Ancieta Bat",584341.45,4795071.42,-1.96010801643741,43.3037484429032,"Loiola","Txomin"
"VUT_Favorable","Viviendas de uso turÃ­stico","Aizkorri   26,    01 - D  Ederrena",580812.12,4795924.86,-2.00349093565744,43.3118194783338,"Antiguo","Heriz - Aizgorri"
"VUT_Favorable","Viviendas de uso turÃ­stico","Aizkorri   96  Atalaya  Bajo",580685.85,4795633.72,-2.00509052386843,43.3092118290205,"Antiguo","Heriz - Aizgorri"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Alaiondo,Gr    5,    01 - A",583533.61,4796898.79,-1.96978884847033,43.3202906233419,"Egia","Jai - Alai"
"VUT_Favorable","Viviendas de uso turÃ­stico","Alcalde J.Elosegi,Av  109  1Âº C",585661.46,4796943.36,-1.94354367195131,43.3204525294785,"Miracruz-Bidebieta","Alto de Miracruz - Arrobi"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Aldakoenea   19  Virgen de la Estrella  Bajo",583344.72,4796935.44,-1.97211247730272,43.320641545396,"Egia","Jai - Alai"
"VUT_Favorable","Viviendas de uso turÃ­stico","Aldakoenea   20,    01 - Dr",583284.26,4796895.83,-1.9728640186986,43.3202916292917,"Egia","Aldakoenea"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Aldakoenea   61,    01 - B  Latxaga",583588.85,4796817.2,-1.96912010800559,43.3195499205621,"Egia","Jai - Alai"
"VUT_Tramitacion","Viviendas de uso turÃ­stico","Aldamar    1,    1Âº - Iz",582552.42,4797553.52,-1.98178942337743,43.3262936051577,NA,NA
